Tick 64, has-tree?: 0, landslide at (10, -4), slope -1.64
Tick 64, has-tree?: 0, landslide at (-11, 12), slope -1.65
Tick 65, has-tree?: 0, landslide at (-16, 9), slope -1.6
Tick 65, has-tree?: 0, landslide at (-2, 4), slope -1.57
Tick 66, has-tree?: 0, landslide at (1, -14), slope -1.53
Tick 67, has-tree?: 0, landslide at (16, 3), slope -1.47
Tick 67, has-tree?: 0, landslide at (14, 3), slope -1.47
Tick 68, has-tree?: 0, landslide at (9, 5), slope -1.42
Tick 68, has-tree?: 0, landslide at (-7, -6), slope -1.39
Tick 69, has-tree?: 0, landslide at (4, -16), slope -1.33
Tick 70, has-tree?: 0, landslide at (15, -1), slope -1.29
Tick 71, has-tree?: 0, landslide at (-12, -15), slope -1.21
Tick 71, has-tree?: 0, landslide at (-8, 13), slope -1.18
Tick 72, has-tree?: 0, landslide at (10, 9), slope -1.14
Tick 74, has-tree?: 0, landslide at (-7, 11), slope -1.06
Tick 74, has-tree?: 0, landslide at (15, -4), slope -1.05
Tick 74, has-tree?: 0, landslide at (16, 5), slope -1.05
Tick 75, has-tree?: 0, landslide at (2, -14), slope -1
Tick 75, has-tree?: 0, landslide at (-3, 6), slope -0.98
Tick 76, has-tree?: 0, landslide at (-9, 15), slope -0.9
Tick 76, has-tree?: 0, landslide at (7, -16), slope -0.89
Tick 76, has-tree?: 0, landslide at (-1, 11), slope -0.93
Tick 76, has-tree?: 0, landslide at (1, -7), slope -0.9
Tick 79, has-tree?: 0, landslide at (12, 4), slope -0.72
Tick 80, has-tree?: 0, landslide at (8, -14), slope -0.68
Tick 80, has-tree?: 0, landslide at (1, -10), slope -0.69
Tick 80, has-tree?: 0, landslide at (-9, 5), slope -0.68
Tick 81, has-tree?: 0, landslide at (7, 9), slope -0.64
Tick 81, has-tree?: 0, landslide at (3, 15), slope -0.58
Tick 81, has-tree?: 0, landslide at (-12, -1), slope -0.63
Tick 82, has-tree?: 0, landslide at (11, 11), slope -0.52
Tick 82, has-tree?: 0, landslide at (9, 9), slope -0.54
Tick 83, has-tree?: 1, landslide at (-16, 15), slope -11.93
Tick 83, has-tree?: 0, landslide at (2, 7), slope -0.48
Tick 83, has-tree?: 0, landslide at (-2, -6), slope -0.51
Tick 84, has-tree?: 0, landslide at (7, 15), slope -0.45
Tick 84, has-tree?: 0, landslide at (-2, 9), slope -0.44
Tick 84, has-tree?: 0, landslide at (-15, 9), slope -0.41
Tick 85, has-tree?: 0, landslide at (3, 11), slope -0.36
Tick 85, has-tree?: 0, landslide at (-12, -9), slope -0.38
Tick 86, has-tree?: 0, landslide at (-2, 2), slope -0.28
Tick 86, has-tree?: 0, landslide at (2, -7), slope -0.3
Tick 86, has-tree?: 0, landslide at (-13, 7), slope -0.32
Tick 87, has-tree?: 0, landslide at (-13, 3), slope -0.27
Tick 88, has-tree?: 0, landslide at (5, 7), slope -0.17
Tick 88, has-tree?: 0, landslide at (16, -3), slope -0.19
